PassengerId,Survived,Pclass,Age,Price
1,0,3,22.0,7.25
2,1,1,38.0,71.2833
3,1,3,26.0,7.925
4,1,1,35.0,26.55
5,0,3,35.0,8.05
7,0,1,54.0,51.8625
8,0,3,2.0,5.26875
9,1,3,27.0,3.7111
10,1,2,14.0,15.0354
11,1,3,4.0,8.35
12,1,1,58.0,26.55
13,0,3,20.0,8.05
14,0,3,39.0,4.4678571428571425
15,0,3,14.0,7.8542
16,1,2,55.0,16.0
17,0,3,2.0,5.825
19,0,3,31.0,18.0
21,0,2,35.0,13.0
22,1,2,34.0,13.0
23,1,3,15.0,8.0292
24,1,1,28.0,35.5
25,0,3,8.0,5.26875
26,1,3,38.0,7.846875
28,0,1,19.0,65.75
31,0,1,40.0,27.7208
34,0,2,66.0,10.5
35,0,1,28.0,41.0854
36,0,1,42.0,26.0
38,0,3,21.0,8.05
39,0,3,18.0,9.0
40,1,3,14.0,5.62085
41,0,3,40.0,9.475
42,0,2,27.0,10.5
44,1,2,3.0,13.859733333333333
45,1,3,19.0,7.8792
50,0,3,18.0,8.9
51,0,3,7.0,6.614583333333333
52,0,3,21.0,7.8
53,1,1,49.0,25.576400000000003
54,1,2,29.0,26.0
55,0,1,65.0,61.9792
57,1,2,21.0,10.5
58,0,3,28.5,7.2292
59,1,2,5.0,9.25
60,0,3,11.0,7.816666666666666
61,0,3,22.0,7.2292
62,1,1,38.0,40.0
63,0,1,45.0,41.7375
64,0,3,4.0,4.6499999999999995
67,1,2,29.0,10.5
68,0,3,19.0,8.1583
69,1,3,17.0,7.925
70,0,3,26.0,8.6625
71,0,2,32.0,10.5
72,0,3,16.0,7.816666666666666
73,0,2,21.0,14.7
74,0,3,26.0,14.4542
75,1,3,32.0,8.070828571428573
76,0,3,25.0,7.65
79,1,2,0.83,14.5
80,1,3,30.0,6.2375
81,0,3,22.0,9.0
82,1,3,29.0,9.5
84,0,1,28.0,47.1
85,1,2,17.0,10.5
86,1,3,33.0,7.925
87,0,3,16.0,8.59375
89,1,1,23.0,65.75
90,0,3,24.0,8.05
91,0,3,29.0,8.05
92,0,3,20.0,7.8542
93,0,1,46.0,61.175
94,0,3,26.0,10.2875
95,0,3,59.0,7.25
97,0,1,71.0,34.6542
98,1,1,23.0,63.3583
99,1,2,34.0,11.5
100,0,2,34.0,13.0
101,0,3,28.0,7.8958
103,0,1,21.0,38.64375
104,0,3,33.0,8.6542
105,0,3,37.0,7.925
106,0,3,28.0,7.8958
107,1,3,21.0,7.65
109,0,3,38.0,7.8958
111,0,1,47.0,26.0
112,0,3,14.5,7.2271
113,0,3,22.0,8.05
114,0,3,20.0,9.825
115,0,3,17.0,7.22915
116,0,3,21.0,7.925
117,0,3,70.5,7.75
118,0,2,29.0,10.5
119,0,1,24.0,123.7604
120,0,3,2.0,4.4678571428571425
121,0,2,21.0,14.7
123,0,2,32.5,15.0354
124,1,2,32.5,13.0
125,0,1,54.0,38.64375
126,1,3,12.0,5.62085
128,1,3,24.0,7.1417
130,0,3,45.0,6.975
131,0,3,33.0,7.8958
132,0,3,20.0,7.05
133,0,3,47.0,14.5
134,1,2,29.0,26.0
135,0,2,25.0,13.0
136,0,2,23.0,15.0458
137,1,1,19.0,26.2833
138,0,1,37.0,26.55
139,0,3,16.0,4.60835
140,0,1,24.0,39.6
142,1,3,22.0,7.75
143,1,3,24.0,7.925
144,0,3,19.0,6.75
145,0,2,18.0,11.5
146,0,2,19.0,18.375
147,1,3,27.0,7.7958
148,0,3,9.0,8.59375
